Via Unit 0,Via Unit 1,R/W,Content,Category
0,0,RW,Relay Output 1.1,Basic
1,1,RW,Relay Output 1.2,Basic
2,2,RW,Relay Output 1.3,Basic
3,3,RW,Relay Output 1.4,Basic
4,4,RW,Relay Output 1.5,Basic
5,5,RW,Relay Output 1.6,Basic
6,6,RW,Relay Output 1.7,Basic
7,7,RW,Relay Output 1.8,Basic
8,8,R,Digital Input 1.1,Basic
9,9,R,Digital Input 1.2,Basic
10,10,R,Digital Input 1.3,Basic
11,11,R,Digital Input 1.4,Basic
12,12,R,Digital Input 1.5,Basic
13,13,R,Digital Input 1.6,Basic
14,14,R,Digital Input 1.7,Basic
15,15,R,Digital Input 1.8,Basic
1000,1000,RW,MWD reset indication,Advanced
1002,1002,RW,Reset section MCU,Advanced
1003,1003,RW,Save current configuration and use on startup,Advanced
1004,1004,RW,(Internal) Firmware programming toggle,Expert
1005,1005,RW,(Internal) Firmware reprogramming toggle,Expert
1006,1006,RW,(Internal) Firmware calibration programming toggle,Expert
1007,1007,RW,Enable DirectSwitch on DI 1.1,Advanced
1008,1008,RW,Enable DirectSwitch on DI 1.2,Advanced
1009,1009,RW,Enable DirectSwitch on DI 1.3,Advanced
1010,1010,RW,Enable DirectSwitch on DI 1.4,Advanced
1011,1011,RW,Enable DirectSwitch on DI 1.5,Advanced
1012,1012,RW,Enable DirectSwitch on DI 1.6,Advanced
1013,1013,RW,Enable DirectSwitch on DI 1.7,Advanced
1014,1014,RW,Enable DirectSwitch on DI 1.8,Advanced
1015,1015,RW,Invert DirectSwitch Polarity on DI 1.1,Advanced
1016,1016,RW,Invert DirectSwitch Polarity on DI 1.2,Advanced
1017,1017,RW,Invert DirectSwitch Polarity on DI 1.3,Advanced
1018,1018,RW,Invert DirectSwitch Polarity on DI 1.4,Advanced
1019,1019,RW,Invert DirectSwitch Polarity on DI 1.5,Advanced
1020,1020,RW,Invert DirectSwitch Polarity on DI 1.6,Advanced
1021,1021,RW,Invert DirectSwitch Polarity on DI 1.7,Advanced
1022,1022,RW,Invert DirectSwitch Polarity on DI 1.8,Advanced
1023,1023,RW,Enable DirectSwitch Toggle Mode on DI 1.1,Advanced
1024,1024,RW,Enable DirectSwitch Toggle Mode on DI 1.2,Advanced
1025,1025,RW,Enable DirectSwitch Toggle Mode on DI 1.3,Advanced
1026,1026,RW,Enable DirectSwitch Toggle Mode on DI 1.4,Advanced
1027,1027,RW,Enable DirectSwitch Toggle Mode on DI 1.5,Advanced
1028,1028,RW,Enable DirectSwitch Toggle Mode on DI 1.6,Advanced
1029,1029,RW,Enable DirectSwitch Toggle Mode on DI 1.7,Advanced
1030,1030,RW,Enable DirectSwitch Toggle Mode on DI 1.8,Advanced
